Gene ID,Locus Tag,Gene Product Name,Genome ID,Genome Name,Batch1,Gene Symbol,GenBank Accession,Chromosome,Start Coord,End Coord,Strand,Locus Type,Is Pseudogene,Is Obsolete,Is Partial Gene,Transmembrane Helices,Signal Peptides,Scaffold External Accession,Scaffold GC %,COG,Pfam,Tigrfam,Enzyme,KO,IMG Term
638213991,YOR034C-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YOR034C-A,NP_878170,chromosome XV,397426,397668,-,CDS,No,No,,1,,NC_001147,0.38,,,,,,
638213988,YOR032W-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YOR032W-A,NP_878169,chromosome XV,392176,392376,+,CDS,No,No,,2,,NC_001147,0.38,,,,,,
638213977,YOR020W-A,Identified by homology to Ashbya gossypii,638208609,Saccharomyces cerevisiae S288C,1,YOR020W-A,NP_878168,chromosome XV,371685,371957,+,CDS,No,No,,1,,NC_001147,0.38,,pfam11022===DUF2611,,,,
638213969,YOR011W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YOR011W-A,NP_878167,chromosome XV,355652,355858,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638213940,YOL013W-A,Identified by SAGE,638208609,Saccharomyces cerevisiae S288C,1,YOL013W-A,NP_878166,chromosome XV,301048,301239,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638213933,YOL019W-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YOL019W-A,NP_878165,chromosome XV,288421,288573,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638213911,YOL038C-A,Identified by SAGE,638208609,Saccharomyces cerevisiae S288C,1,YOL038C-A,NP_878164,chromosome XV,254925,255020,-,CDS,No,No,,,,NC_001147,0.38,,,,,,
638213850,YOL097W-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YOL097W-A,NP_878163,chromosome XV,136220,136405,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638213792,YOL155W-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YOL155W-A,NP_878162,chromosome XV,27083,27217,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638213782,YOL164W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YOL164W-A,NP_878161,chromosome XV,4130,4312,+,CDS,No,No,,,,NC_001147,0.38,,,,,,
638213780,YOL166W-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YOL166W-A,NP_878160,chromosome XV,585,740,+,CDS,No,No,,1,,NC_001147,0.38,,pfam04318===DUF468,,,,
638213778,YNR075C-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YNR075C-A,NP_878159,chromosome XIV,781511,781603,-,CDS,No,No,,,,NC_001146,0.39,,,,,,
638213675,YNL024C-A,Putative protein of unknown function; YNL024C-A is an essential gene,638208609,Saccharomyces cerevisiae S288C,1,KSH1,NP_878158,chromosome XIV,586603,586821,-,CDS,No,No,,,1,NC_001146,0.39,,pfam06842===DUF1242,,,,
638213653,YNL042W-B,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YNL042W-B,NP_878157,chromosome XIV,547114,547371,+,CDS,No,No,,,,NC_001146,0.39,,,,,,
638213627,YNL067W-B,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YNL067W-B,NP_878156,chromosome XIV,499418,499558,+,CDS,No,No,,,,NC_001146,0.39,,,,,,
638213596,YNL097C-B,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YNL097C-B,NP_878155,chromosome XIV,440799,440921,-,CDS,No,No,,,,NC_001146,0.39,,,,,,
638213567,YNL130C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,DGR1,NP_878154,chromosome XIV,381247,381393,-,CDS,No,No,,,,NC_001146,0.39,,,,,,
638213556,YNL138W-A,"Component of the U2 snRNP, associated with the SF3b complex; conserved in Ashbya gossypii",638208609,Saccharomyces cerevisiae S288C,1,YSF3,NP_878153,chromosome XIV,366035,366414,+,CDS,No,No,,,,NC_001146,0.39,,pfam07189===SF3b10,,,"KO:K12832===SF3B5, SF3B10===splicing factor 3B subunit 5",
638213549,YNL146C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YNL146C-A,NP_878152,chromosome XIV,351388,351582,-,CDS,No,No,,,,NC_001146,0.39,,,,,,
638213429,YNL277W-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YNL277W-A,NP_878151,chromosome XIV,116679,116867,+,CDS,No,No,,,,NC_001146,0.39,,,,,,
638213359,YMR315W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR315W-A,NP_878150,chromosome XIII,904285,904392,+,CDS,No,No,,,,NC_001145,0.38,,,,,,
638213314,YMR272W-B,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YMR272W-B,NP_878149,chromosome XIII,811088,811195,+,CDS,No,No,,,,NC_001145,0.38,,,,,,
638213289,YMR247W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR247W-A,NP_878148,chromosome XIII,769282,769425,+,CDS,No,No,,,1,NC_001145,0.38,,,,,,
638213282,YMR242W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR242W-A,NP_878147,chromosome XIII,754296,754385,+,CDS,No,No,,,,NC_001145,0.38,,,,,,
638213268,YMR230W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR230W-A,NP_878146,chromosome XIII,733267,733455,+,CDS,No,No,,,,NC_001145,0.38,,,,,,
638213231,YMR194C-B,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,CMC4,NP_878145,chromosome XIII,652593,652886,-,CDS,No,No,,,,NC_001145,0.38,,pfam08991===MTCP1,,,,
638213216,YMR182W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR182W-A,NP_878144,chromosome XIII,625810,625896,+,CDS,No,No,,1,1,NC_001145,0.38,,,,,,
638213208,YMR175W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR175W-A,NP_878143,chromosome XIII,611313,611507,+,CDS,No,No,,,,NC_001145,0.38,,,,,,
638213133,YMR105W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR105W-A,NP_878142,chromosome XIII,478063,478257,+,CDS,No,No,,,,NC_001145,0.38,,,,,,
638213056,YMR030W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR030W-A,NP_878141,chromosome XIII,337312,337602,+,CDS,No,No,,1,,NC_001145,0.38,,,,,,
638213016,YMR001C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YMR001C-A,NP_878140,chromosome XIII,271347,271577,-,CDS,No,No,,,,NC_001145,0.38,,,,,,
638212957,YML054C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YML054C-A,NP_878139,chromosome XIII,167623,167781,-,CDS,No,No,,,,NC_001145,0.38,,,,,,
638212908,YML100W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YML100W-A,NP_878138,chromosome XIII,70138,70311,+,CDS,No,No,,,,NC_001145,0.38,,,,,,
638212873,YLR466C-B,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",638208609,Saccharomyces cerevisiae S288C,1,TEL12R-YP1,NP_878137,chromosome XII,1071592,1071708,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212821,YLR412C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YLR412C-A,NP_878136,chromosome XII,950264,950470,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212812,YLR406C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YLR406C-A,NP_878135,chromosome XII,932205,932354,-,CDS,No,No,,1,1,NC_001144,0.38,,,,,,
638212768,YLR361C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YLR361C-A,NP_878134,chromosome XII,849382,849678,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212749,YLR342W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YLR342W-A,NP_878133,chromosome XII,815810,815983,+,CDS,No,No,,1,,NC_001144,0.38,,,,,,
638212713,YLR307C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YLR307C-A,NP_878131,chromosome XII,746850,747113,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212690,YLR285C-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YLR285C-A,NP_878130,chromosome XII,708170,708340,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212671,YLR264C-A,Identified by SAGE,638208609,Saccharomyces cerevisiae S288C,1,YLR264C-A,NP_878129,chromosome XII,673830,673946,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212573,YLR162W-A,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,RRT15,NP_878128,chromosome XII,490407,490595,+,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212568,YLR159C-A,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-5,638208609,Saccharomyces cerevisiae S288C,1,YLR159C-A,NP_878127,chromosome XII,485712,485843,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212564,YLR157C-C,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-4,638208609,Saccharomyces cerevisiae S288C,1,YLR159C-A,NP_878126,chromosome XII,482060,482191,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212562,YLR157W-E,"Putative protein of unknown function identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching; partially overlaps a Ty1 element",638208609,Saccharomyces cerevisiae S288C,1,YLR157W-E,NP_878125,chromosome XII,481874,482038,+,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212559,YLR157W-D,"Putative protein of unknown function identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YLR157W-D,NP_878124,chromosome XII,475765,475977,+,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212557,YLR156C-A,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-3,638208609,Saccharomyces cerevisiae S288C,1,YLR159C-A,NP_878123,chromosome XII,472480,472611,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212553,YLR154C-H,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF partially overlaps RND5-2,638208609,Saccharomyces cerevisiae S288C,1,YLR159C-A,NP_878122,chromosome XII,468828,468959,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212545,YLR154C-G,Putative protein of unknown function identified by fungal homology comparisons and RT-PCR; this ORF is contained within RDN25-2 and RDN37-2,638208609,Saccharomyces cerevisiae S288C,1,YLR154C-G,NP_878121,chromosome XII,462523,462672,-,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212368,YLL006W-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YLL006W-A,NP_878116,chromosome XII,136344,136520,+,CDS,No,No,,1,,NC_001144,0.38,,,,,,
638212314,YLL066W-B,"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data",638208609,Saccharomyces cerevisiae S288C,1,TEL12L-YP2,NP_878115,chromosome XII,5605,5775,+,CDS,No,No,,,,NC_001144,0.38,,,,,,
638212301,YKR095W-A,"Protein of unknown function, conserved in Ashbya gossypii",638208609,Saccharomyces cerevisiae S288C,1,PCC1,NP_878113,chromosome XI,625506,625847,+,CDS,No,No,,,,NC_001143,0.38,,pfam09341===Pcc1,,,"KO:K15902===PCC1, LAGE3===EKC/KEOPS complex subunit PCC1/LAGE3",
638212133,YKL068W-A,Putative protein of unknown function; identified by homology to Ashbya gossypii,638208609,Saccharomyces cerevisiae S288C,1,YKL068W-A,NP_878111,chromosome XI,308850,309086,+,CDS,No,No,,,,NC_001143,0.38,,,,,,
638212102,YKL096C-B,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YKL096C-B,NP_878110,chromosome XI,258717,258866,-,CDS,No,No,,1,,NC_001143,0.38,,,,,,
638212021,YKL183C-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YKL183C-A,NP_878109,chromosome XI,98400,98612,-,CDS,No,No,,1,,NC_001143,0.38,,,,,,
638211970,YJR151W-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,,NP_878108,chromosome X,717496,717546,+,CDS,No,No,,,,NC_001142,0.38,,,,,,
638211931,YJR112W-A,Putative protein of unknown function; identified based on homology to Ashbya gossypii,638208609,Saccharomyces cerevisiae S288C,1,YJR112W-A,NP_878107,chromosome X,637706,638084,+,CDS,No,No,,1,,NC_001142,0.38,,pfam04892===VanZ,,,,
638211822,YJR005C-A,"Putative protein of unknown function, originally identified as a syntenic homolog of an Ashbya gossypii gene",638208609,Saccharomyces cerevisiae S288C,1,YJR005C-A,NP_878106,chromosome X,448392,448673,-,CDS,No,No,,,,NC_001142,0.38,,,,,,
638211766,YJL047C-A,Yjl047c-ap,638208609,Saccharomyces cerevisiae S288C,1,YJL047C-A,NP_878105,chromosome X,348961,349095,-,CDS,No,No,,,,NC_001142,0.38,,,,,,
638211736,YJL077W-B,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YJL077W-B,NP_878104,chromosome X,293964,294062,+,CDS,No,No,,,,NC_001142,0.38,,,,,,
638211684,YJL127C-B,"Putative protein of unknown function; identified based on homology to the filamentous fungus, Ashbya gossypii",638208609,Saccharomyces cerevisiae S288C,1,YJL127C-B,NP_878103,chromosome X,181471,181629,-,CDS,No,No,,,,NC_001142,0.38,,,,,,
638211677,YJL133C-A,Yjl133c-ap,638208609,Saccharomyces cerevisiae S288C,1,YJL133C-A,NP_878102,chromosome X,159542,159766,-,CDS,No,No,,,,NC_001142,0.38,,,,,,
638211674,YJL136W-A,Identified by SAGE,638208609,Saccharomyces cerevisiae S288C,1,YJL136W-A,NP_878101,chromosome X,156088,156171,+,CDS,No,No,,,,NC_001142,0.38,,,,,,
638211574,YIR021W-A,"Putative protein of unknown function, identified by expression profiling and mass spectrometry",638208609,Saccharomyces cerevisiae S288C,1,YIR021W-A,NP_878100,chromosome IX,398511,398723,+,CDS,No,No,,1,,NC_001141,0.39,,,,,,
638211571,YIR018C-A,"Putative protein of unknown function, identified by expression profiling and mass spectrometry",638208609,Saccharomyces cerevisiae S288C,1,YIR018C-A,NP_878099,chromosome IX,385561,385698,-,CDS,No,No,,,,NC_001141,0.39,,,,,,
638211549,YIL002W-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YIL002W-A,NP_878098,chromosome IX,350298,350507,+,CDS,No,No,,,,NC_001141,0.39,,,,,,
638211502,YIL046W-A,Identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YIL046W-A,NP_878097,chromosome IX,268308,268472,+,CDS,No,No,,1,,NC_001141,0.39,,,,,,
638211413,YIL134C-A,"Putative protein of unknown function, identified by fungal homology and RT-PCR",638208609,Saccharomyces cerevisiae S288C,1,YIL134C-A,NP_878096,chromosome IX,96522,96725,-,CDS,No,No,,2,,NC_001141,0.39,,,,,,
638211372,YHR214C-E,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YHR214C-E,NP_878095,chromosome VIII,551200,551499,-,CDS,No,No,,1,,NC_001140,0.38,,,,,,
638211371,YHR214C-D,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YHR214C-D,NP_878094,chromosome VIII,550648,550941,-,CDS,No,No,,2,,NC_001140,0.38,,,,,,
638211367,YHR213W-B,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YHR213W-B,NP_878093,chromosome VIII,540800,541099,+,CDS,No,No,,,,NC_001140,0.38,,,,,,
638211366,YHR213W-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YHR213W-A,NP_878092,chromosome VIII,540549,540782,+,CDS,No,No,,1,,NC_001140,0.38,,,,,,
638211364,YHR212W-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YHR212W-A,NP_878091,chromosome VIII,538742,538945,+,CDS,No,No,,,1,NC_001140,0.38,,,,,,
638211325,YHR175W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YHR175W-A,NP_878090,chromosome VIII,453558,453707,+,CDS,No,No,,1,,NC_001140,0.38,,,,,,
638211235,YHR086W-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YHR086W-A,NP_878089,chromosome VIII,280233,280394,+,CDS,No,No,,,,NC_001140,0.38,,,,,,
638211195,YHR050W-A,Protein of unknown function; identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YHR050W-A,NP_878088,chromosome VIII,209469,209639,+,CDS,No,No,,,,NC_001140,0.38,,,,,,
638211165,YHR022C-A,"Putative protein of unknown function, identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YHR022C-A,NP_878087,chromosome VIII,151210,151299,-,CDS,No,No,,,,NC_001140,0.38,,,,,,
638211145,YHR007C-A,Putative protein of unknown function; identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YHR007C-A,NP_878086,chromosome VIII,122545,122760,-,CDS,No,No,,1,,NC_001140,0.38,,,,,,
638211117,YHL015W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YHL015W-A,NP_878085,chromosome VIII,74696,74779,+,CDS,No,No,,,,NC_001140,0.38,,,,,,
638211085,YHL048C-A,Putative protein of unknown function; identified by expression profiling and mass spectrometry,638208609,Saccharomyces cerevisiae S288C,1,YHL048C-A,NP_878084,chromosome VIII,5662,5796,-,CDS,No,No,,,,NC_001140,0.38,,,,,,
638211031,YGR240C-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YGR240C-A,NP_878083,chromosome VII,974582,974782,-,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210994,YGR204C-A,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YGR204C-A,NP_878082,chromosome VII,909066,909179,-,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210963,YGR174W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YGR174W-A,NP_878081,chromosome VII,846660,846746,+,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210956,YGR169C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YGR169C-A,NP_878080,chromosome VII,836392,836670,-,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210927,YGR146C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YGR146C-A,NP_878079,chromosome VII,785281,785442,-,CDS,No,No,,1,,NC_001139,0.38,,,,,,
638210899,YGR121W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YGR121W-A,NP_878078,chromosome VII,733417,733632,+,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210811,YGR035W-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YGR035W-A,NP_878077,chromosome VII,557569,557790,+,CDS,No,No,,,1,NC_001139,0.38,,,,,,
638210767,YGL006W-A,Identified by SAGE,638208609,Saccharomyces cerevisiae S288C,1,YGL006W-A,NP_878076,chromosome VII,485428,485538,+,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210766,YGL007C-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YGL007C-A,NP_878075,chromosome VII,482946,483032,-,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210732,YGL041C-B,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YGL041C-B,NP_878074,chromosome VII,418709,418891,-,CDS,No,No,,1,,NC_001139,0.38,,,,,,
638210589,YGL188C-A,Putative protein of unknown function,638208609,Saccharomyces cerevisiae S288C,1,YGL188C-A,NP_878073,chromosome VII,148830,148970,-,CDS,No,No,,,,NC_001139,0.38,,,,,,
638210489,YFR032C-B,"Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YFR032C-B,NP_878072,chromosome VI,223698,223961,-,CDS,No,No,,1,,NC_001138,0.39,,,,,,
638210403,YFL041W-A,Putative protein of unknown function; identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YFL041W-A,NP_878071,chromosome VI,48734,48925,+,CDS,No,No,,,,NC_001138,0.39,,,,,,
638210375,YER188C-A,Yer188c-ap,638208609,Saccharomyces cerevisiae S288C,1,TEL05R-YP,NP_878070,chromosome V,569603,569902,-,CDS,No,No,,,,NC_001137,0.39,,pfam04318===DUF468,,,,
638210361,YER175W-A,"Identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching",638208609,Saccharomyces cerevisiae S288C,1,YER175W-A,NP_878069,chromosome V,540645,540809,+,CDS,No,No,,,,NC_001137,0.39,,,,,,
638210253,YER078W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YER078W-A,NP_878068,chromosome V,318642,318806,+,CDS,No,No,,,,NC_001137,0.39,,,,,,
638210061,YDR524C-B,Ydr524c-bp,638208609,Saccharomyces cerevisiae S288C,1,YDR524C-B,NP_878067,chromosome IV,1489590,1489790,-,CDS,No,No,,1,1,NC_001136,0.38,,,,,,
638210060,YDR524W-C,Identified by SAGE,638208609,Saccharomyces cerevisiae S288C,1,YDR524W-C,NP_878066,chromosome IV,1489395,1489484,+,CDS,No,No,,,,NC_001136,0.38,,,,,,
638209779,YDR246W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YDR246W-A,NP_878065,chromosome IV,955129,955329,+,CDS,No,No,,,,NC_001136,0.38,,,,,,
638209727,YDR194W-A,Identified by fungal homology and RT-PCR,638208609,Saccharomyces cerevisiae S288C,1,YDR194W-A,NP_878064,chromosome IV,848068,848220,+,CDS,No,No,,,,NC_001136,0.38,,,,,,
